name,time,portions,difficulty,description,ingredients,steps,website,url,image_url
mojito recipe,5 mins,1,Easy,"Mix this classic cocktail for a party using fresh mint, white rum, sugar, zesty lime and cooling soda water. Play with the quantities to suit your taste.","['juice of 1 lime', '1 tsp granulated sugar', 'small handful mint leaves, plus extra sprig to serve', '60ml white rum', 'soda water, to taste']","['Muddle the lime juice, sugar and mint leaves in a small jug, crushing the mint as you go – you can use the end of a rolling pin for this. Pour into a tall glass and add a handful of ice.', 'Pour over the rum, stirring with a long-handled spoon. Top up with soda water, garnish with mint and serve.']",bbc,https://www.bbcgoodfood.com/recipes/mojito,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mojito-cocktails-150961e.jpg?quality=90&resize=430,390"
sex on the beach cocktail,5 mins,2,Easy,Combine vodka with peach schnapps and cranberry juice to make a classic sex on the beach cocktail. Garnish with cocktail cherries and orange slices,"['ice', '50ml vodka', '25ml peach schnapps', '2 oranges, juiced, plus 2 slices to garnish', '50ml cranberry juice', 'glacé cherries, to garnish (optional)']","['Fill two tall glasses with ice cubes. Pour the vodka, peach schnapps and fruit juices into a large jug and stir.', 'Divide the mixture between the two glasses and stir gently to combine. Garnish with the cocktail cherries and orange slices.']",bbc,https://www.bbcgoodfood.com/recipes/sex-beach-cocktail,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sex_on_the_beach-621ae6e.jpg?quality=90&resize=440,400"
espresso martini,5 mins,2,Easy,"Learn how to make this classic coffee cocktail. Our easy recipe uses freshly brewed espresso, a dash of coffee liqueur and a simple sugar syrup.","['For the sugar syrup', '100g golden caster sugar']","['Start by making the sugar syrup. Put the caster sugar in a small pan over a medium heat and pour in 50ml water. Stir, and bring to the boil.', 'Turn off the heat and allow the mixture to cool. Put 2 martini glasses in the fridge to chill.', 'Once the sugar syrup is cold, pour 1 tbsp into a cocktail shaker along with a handful of ice, the vodka, espresso and coffee liqueur. Shake until the outside of the cocktail shaker feels icy cold.', 'Strain into the chilled glasses. Garnish each one with coffee beans if you like.']",bbc,https://www.bbcgoodfood.com/recipes/espresso-martini,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-martini-f099531.jpg?quality=90&resize=440,400"
mojito recipe,5 mins,1,Easy,"Mix this classic cocktail for a party using fresh mint, white rum, sugar, zesty lime and cooling soda water. Play with the quantities to suit your taste.","['juice of 1 lime', '1 tsp granulated sugar', 'small handful mint leaves, plus extra sprig to serve', '60ml white rum']",[],bbc,https://www.bbcgoodfood.com/recipes/mojito,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mojito-cocktails-150961e.jpg
mojito recipe,5 mins,1,Easy,"Mix this classic cocktail for a party using fresh mint, white rum, sugar, zesty lime and cooling soda water. Play with the quantities to suit your taste.","['juice of 1 lime', '1 tsp granulated sugar', 'small handful mint leaves, plus extra sprig to serve', '60ml white rum', 'soda water, to taste']","['Muddle the lime juice, sugar and mint leaves in a small jug, crushing the mint as you go – you can use the end of a rolling pin for this. Pour into a tall glass and add a handful of ice.', 'Pour over the rum, stirring with a long-handled spoon. Top up with soda water, garnish with mint and serve.']",bbc,https://www.bbcgoodfood.com/recipes/mojito,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mojito-cocktails-150961e.jpg
sex on the beach cocktail,5 mins,2,Easy,Combine vodka with peach schnapps and cranberry juice to make a classic sex on the beach cocktail. Garnish with cocktail cherries and orange slices,"['ice', '50ml vodka', '25ml peach schnapps', '2 oranges, juiced, plus 2 slices to garnish', '50ml cranberry juice', 'glacé cherries, to garnish (optional)']","['Fill two tall glasses with ice cubes. Pour the vodka, peach schnapps and fruit juices into a large jug and stir.', 'Divide the mixture between the two glasses and stir gently to combine. Garnish with the cocktail cherries and orange slices.']",bbc,https://www.bbcgoodfood.com/recipes/sex-beach-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sex_on_the_beach-621ae6e.jpg
espresso martini,5 mins,2,Easy,"Learn how to make this classic coffee cocktail. Our easy recipe uses freshly brewed espresso, a dash of coffee liqueur and a simple sugar syrup.","['For the sugar syrup', '100g golden caster sugar']","['Start by making the sugar syrup. Put the caster sugar in a small pan over a medium heat and pour in 50ml water. Stir, and bring to the boil.', 'Turn off the heat and allow the mixture to cool. Put 2 martini glasses in the fridge to chill.', 'Once the sugar syrup is cold, pour 1 tbsp into a cocktail shaker along with a handful of ice, the vodka, espresso and coffee liqueur. Shake until the outside of the cocktail shaker feels icy cold.', 'Strain into the chilled glasses. Garnish each one with coffee beans if you like.']",bbc,https://www.bbcgoodfood.com/recipes/espresso-martini,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-martini-f099531.jpg
aperol spritz,5 mins,2,Easy,"Get a taste of summer with our take on this classic Italian cocktail of Aperol, prosecco and soda. Try our proportions or adjust the ratio to taste","['ice', '100ml Aperol', '150ml prosecco', 'soda, to top up']","['Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.']",bbc,https://www.bbcgoodfood.com/recipes/aperol-spritz,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aperol-spritz-0e58f7b.jpg
mojito recipe,5 mins,1,Easy,"Mix this classic cocktail for a party using fresh mint, white rum, sugar, zesty lime and cooling soda water. Play with the quantities to suit your taste.","['juice of 1 lime', '1 tsp granulated sugar', 'small handful mint leaves, plus extra sprig to serve', '60ml white rum', 'soda water, to taste']","['Muddle the lime juice, sugar and mint leaves in a small jug, crushing the mint as you go – you can use the end of a rolling pin for this. Pour into a tall glass and add a handful of ice.', 'Pour over the rum, stirring with a long-handled spoon. Top up with soda water, garnish with mint and serve.']",bbc,https://www.bbcgoodfood.com/recipes/mojito,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mojito-cocktails-150961e.jpg
sex on the beach cocktail,5 mins,2,Easy,Combine vodka with peach schnapps and cranberry juice to make a classic sex on the beach cocktail. Garnish with cocktail cherries and orange slices,"['ice', '50ml vodka', '25ml peach schnapps', '2 oranges, juiced, plus 2 slices to garnish', '50ml cranberry juice', 'glacé cherries, to garnish (optional)']","['Fill two tall glasses with ice cubes. Pour the vodka, peach schnapps and fruit juices into a large jug and stir.', 'Divide the mixture between the two glasses and stir gently to combine. Garnish with the cocktail cherries and orange slices.']",bbc,https://www.bbcgoodfood.com/recipes/sex-beach-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sex_on_the_beach-621ae6e.jpg
espresso martini,5 mins,2,Easy,"Learn how to make this classic coffee cocktail. Our easy recipe uses freshly brewed espresso, a dash of coffee liqueur and a simple sugar syrup.","['For the sugar syrup', '100g golden caster sugar']","['Start by making the sugar syrup. Put the caster sugar in a small pan over a medium heat and pour in 50ml water. Stir, and bring to the boil.', 'Turn off the heat and allow the mixture to cool. Put 2 martini glasses in the fridge to chill.', 'Once the sugar syrup is cold, pour 1 tbsp into a cocktail shaker along with a handful of ice, the vodka, espresso and coffee liqueur. Shake until the outside of the cocktail shaker feels icy cold.', 'Strain into the chilled glasses. Garnish each one with coffee beans if you like.']",bbc,https://www.bbcgoodfood.com/recipes/espresso-martini,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-martini-f099531.jpg
aperol spritz,5 mins,2,Easy,"Get a taste of summer with our take on this classic Italian cocktail of Aperol, prosecco and soda. Try our proportions or adjust the ratio to taste","['ice', '100ml Aperol', '150ml prosecco']",[],bbc,https://www.bbcgoodfood.com/recipes/aperol-spritz,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aperol-spritz-0e58f7b.jpg
mojito recipe,5 mins,1,Easy,"Mix this classic cocktail for a party using fresh mint, white rum, sugar, zesty lime and cooling soda water. Play with the quantities to suit your taste.","['juice of 1 lime', '1 tsp granulated sugar', 'small handful mint leaves, plus extra sprig to serve', '60ml white rum', 'soda water, to taste']","['Muddle the lime juice, sugar and mint leaves in a small jug, crushing the mint as you go – you can use the end of a rolling pin for this. Pour into a tall glass and add a handful of ice.', 'Pour over the rum, stirring with a long-handled spoon. Top up with soda water, garnish with mint and serve.']",bbc,https://www.bbcgoodfood.com/recipes/mojito,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mojito-cocktails-150961e.jpg
sex on the beach cocktail,5 mins,2,Easy,Combine vodka with peach schnapps and cranberry juice to make a classic sex on the beach cocktail. Garnish with cocktail cherries and orange slices,"['ice', '50ml vodka', '25ml peach schnapps', '2 oranges, juiced, plus 2 slices to garnish', '50ml cranberry juice', 'glacé cherries, to garnish (optional)']","['Fill two tall glasses with ice cubes. Pour the vodka, peach schnapps and fruit juices into a large jug and stir.', 'Divide the mixture between the two glasses and stir gently to combine. Garnish with the cocktail cherries and orange slices.']",bbc,https://www.bbcgoodfood.com/recipes/sex-beach-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sex_on_the_beach-621ae6e.jpg
espresso martini,5 mins,2,Easy,"Learn how to make this classic coffee cocktail. Our easy recipe uses freshly brewed espresso, a dash of coffee liqueur and a simple sugar syrup.","['For the sugar syrup', '100g golden caster sugar']","['Start by making the sugar syrup. Put the caster sugar in a small pan over a medium heat and pour in 50ml water. Stir, and bring to the boil.', 'Turn off the heat and allow the mixture to cool. Put 2 martini glasses in the fridge to chill.', 'Once the sugar syrup is cold, pour 1 tbsp into a cocktail shaker along with a handful of ice, the vodka, espresso and coffee liqueur. Shake until the outside of the cocktail shaker feels icy cold.', 'Strain into the chilled glasses. Garnish each one with coffee beans if you like.']",bbc,https://www.bbcgoodfood.com/recipes/espresso-martini,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/espresso-martini-f099531.jpg
aperol spritz,5 mins,2,Easy,"Get a taste of summer with our take on this classic Italian cocktail of Aperol, prosecco and soda. Try our proportions or adjust the ratio to taste","['ice', '100ml Aperol', '150ml prosecco', 'soda, to top up']","['Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.']",bbc,https://www.bbcgoodfood.com/recipes/aperol-spritz,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/aperol-spritz-0e58f7b.jpg
easy sangria,10 mins,6,Easy,"Embrace balmy summer days with a jug of sangria. With red wine, Spanish brandy, sparkling water, cinnamon and chopped fruit, it's a lovely sharing cocktail","['2 oranges , chopped', '2 pears , chopped', '2 lemons , 1 chopped, 1 juiced', '200g red berries , chopped (we used strawberries and cherries)', '3 tbsp caster sugar', '1 tsp cinnamon', 'ice', '750ml bottle light red wine', '100ml Spanish brandy', '300ml sparkling water']","['Put the chopped fruit in a bowl and sprinkle over the sugar and cinnamon, then stir to coat. Cover and leave to macerate in the fridge for at least 1 hr, or ideally overnight.', 'Fill a large jug with ice. Stir the macerated fruit mixture to ensure the sugar is dissolved, then tip into the jug with the wine and brandy. Stir, then top up with the sparkling water and serve.']",bbc,https://www.bbcgoodfood.com/recipes/sangria,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sangria-new-crop-8fbb7a1.jpg
singapore sling,5 mins,1,Easy,"Mix gin with cherry brandy, Benedictine, Angostura bitters, pineapple and lime juice to make this classic cocktail. Garnish with pineapple and a cherry","['25ml dry gin', '25ml cherry brandy', '25ml Benedictine', 'handful of ice, to serve', 'few drops Angostura bitters', '50ml pineapple juice', '25ml lime juice', 'sparkling water to top up']","['Pour the gin, cherry brandy and Benedictine into a mixing glass or a jug. Add the ice and Angostura bitters. Stir well until the outside of the glass feels cold.', 'Pour the mix into a tall glass, then add the pineapple juice and lime juice and stir gently. Top up with sparkling water and garnish.']",bbc,https://www.bbcgoodfood.com/recipes/singapore-sling,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/singapore-sling-37315fa.jpg
vodka martini,5 mins,1,Easy,Make an easy vodka martini with our simple recipe for an elegant party tipple. Serve your cool cocktail with an olive or a twist of lemon peel,"['60ml vodka', '1 tbsp dry vermouth', 'olive or lemon peel, to garnish']","['Stir the vodka, dry vermouth and a little ice together or put them in a cocktail shaker to combine.', 'Strain into a chilled martini glass. Serve with an olive on a cocktail stick or a twist of lemon peel.']",bbc,https://www.bbcgoodfood.com/recipes/vodka-martini,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vodka-martini-recipe-d7e9995.jpg
mudslide,5 mins,2,Easy,"Share this creamy adults-only drink with the chocolate lover in your life. For extra indulgence, grate over some chocolate before serving","['50g dark chocolate', 'ice', '60ml coffee-flavoured liqueur', '60ml vodka', '60ml Irish cream liqueur', '100ml double cream']","[""Put two small tumblers in the fridge to chill overnight. Put 30g of the chocolate in a shallow bowl and melt in the microwave in short bursts. Dip the rim of the chilled glasses in the melted chocolate, then stand them upright so it gradually drips down the sides. Return to the fridge until you're ready to serve. "", 'Fill a cocktail shaker with ice, then pour in the coffee-flavoured liqueur, vodka, Irish cream liqueur and double cream. Shake until the outside of the shaker is very cold. ', 'Put a few ice cubes in the prepared glasses, then strain in the cocktail. Finely grate over the remaining chocolate and serve with a paper straw. ']",bbc,https://www.bbcgoodfood.com/recipes/mudslide,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mudslide-b38f145.jpg
palomezcal,5 mins,1,Easy,"Try a twist on one of Mexico's favourite cocktails using mezcal instead of tequila for a refreshing, summery sipper","['lime juice (optional)', '50ml espadin mezcal', '30ml fresh grapefruit juice', '10ml agave syrup', 'ice', 'soda water']","[""If you're choosing to salt the rim of your glass like a classic margarita, dip the rim in a saucer of lime juice, followed by a saucer of sea salt."", 'Put all the ingredients except the soda water into a cocktail shaker, fill with ice and give it a good shake.', 'Strain into a tall collins glass over fresh ice and top with soda water and a slice of grapefruit to garnish.']",bbc,https://www.bbcgoodfood.com/recipes/palomezcal,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/palomezcal-bf0600b.jpg
pink gin iced tea,15 mins,6,Easy,"Blend pink gin with iced tea and you have this unique cocktail, made with spiced rum, elderflower and pink grapefruit. Serve in a jug for a sharing cocktail ","['1 chamomile tea bag', '100ml pink gin', '100ml spiced rum', '100ml elderflower cordial', '100ml pink grapefruit juice', 'ice', 'thyme sprigs, to garnish']","['Brew the chamomile tea bag with 500ml boiling water, steep for 2-3 mins or following pack instructions. Remove the bag and leave to cool for 5 mins. ', 'Pour into a large jug with the pink gin, rum, elderflower cordial and juice. Add ice and stir, then add the thyme sprigs and stir again before serving. ']",bbc,https://www.bbcgoodfood.com/recipes/pink-gin-iced-tea,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/gin_iced_tea-7addd18.jpg
hurricane cocktail,5 mins,2,Easy,"Our tropical, rum-based hurricane cocktail is easy to make and sure to get your party started. Garnish with orange and cocktail cherries for a kitsch touch","['50ml dark rum', '50ml white rum', '1 passion fruit', '1 orange , juiced', '1 lemon , juiced', '50ml sugar syrup', '2 tsp grenadine']","['Fill a cocktail shaker with ice then add the rums. Scoop the flesh and seeds from the passion fruit and add to the shaker along with the orange and lemon juices, sugar syrup and grenadine. ', 'Shake well until the outside of the cocktail shaker feels icy cold. Fill two hurricane glasses with fresh ice then double strain the drink into the prepared glasses.', 'Garnish each one with an orange slice skewered onto a cocktail stick and a couple of cocktail cherries. ']",bbc,https://www.bbcgoodfood.com/recipes/hurricane-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hurricane-62b2c43.jpg
pink negroni,5 mins,1,Easy,"Go pink with this fabulous cocktail flavoured with pink gin, rose vermouth and Aperol. Garnish with a wedge of pink grapefruit and a basil leaf to serve","['35ml pink gin', '25ml rose vermouth , or sweet white vermouth', '15ml Aperol', 'ice', 'wedge of pink grapefruit and a basil leaf, to garnish']","['Combine the pink gin, vermouth and Aperol in a tumbler with a small handful of ice. Stir until the outside of the glass feels cold. ', 'Garnish with a wedge of pink grapefruit and a basil leaf.']",bbc,https://www.bbcgoodfood.com/recipes/pink-negroni,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/classic-negroni-dfc0ca9.jpg
jessica rabbit cocktail,5 mins,1,Easy,"Plenty of fresh ingredients lift this simple mezcal cocktail to create a sweet, light and wonderfully balanced drink","['2 strawberries', '2 cherry tomatoes, plus 1 extra, to garnish', '10ml agave syrup', '20ml fresh lime juice', '30ml espadin mezcal', '20ml blanco tequila', '20ml pineapple juice', 'ice', 'fresh mint sprig, to garnish']","['Put the strawberries, tomatoes, agave and lime juice in the bottom of a cocktail shaker and muddle together. Add the mezcal, tequila and pineapple juice and fill with ice.', 'Shake hard to create a nice foam head on the drink and fine strain into a martini glass or coupette. Garnish with a mint sprig inserted into a cherry tomato.']",bbc,https://www.bbcgoodfood.com/recipes/jessica-rabbit-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/jessica-rabbit-f053c39.jpg
sidecar,5 mins,1,Easy,"Try your hand at recreating a classic 1920s cocktail, the sidecar. It's easy to adapt – simply use cognac, or go with equal parts cognac, triple sec and lemon juice","['50ml cognac', '25ml triple sec', '25ml lemon juice', 'handful of ice']","['Put a coupe glass in the fridge to chill. Tip all of the ingredients into a cocktail shaker.', 'Shake well, until the outside of the shaker feels cold, then strain the cocktail into the chilled glass. If the lemon juice is too sharp, add the bitters to taste.']",bbc,https://www.bbcgoodfood.com/recipes/sidecar,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sidecar-cocktail-79241f4.jpg
sweet manhattan cocktail,5 mins,1,Easy,"If you're a whiskey lover, you'll love this sweet manhattan, made with whiskey, vermouth and bitters. Serve with a maraschino cherry and a twist of lemon","['50ml bourbon or rye whiskey', '25ml rosso vermouth', '5ml syrup from a jar of maraschino cherries (we used Luxardo)', '2 dashes Angostura bitters', 'ice']","['Stir the ingredients with ice in a mixing glass, then strain into a cocktail glass. Garnish and serve.']",bbc,https://www.bbcgoodfood.com/recipes/sweet-manhattan-cocktail,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/manhattan-cocktail-4d775c9.jpg
dizzy mezcal,5 mins,1,Easy,Pairing fresh cucumber and lemon with a smoky mezcal and herbal anise creates the perfect balance for this deliciously complex cocktail,"['2.5cm piece cucumber, plus cucumber peel, to garnish', '15ml lemon juice', '15ml agave syrup', '10ml absinthe', '40ml La Medida Espadin mezcal', 'ice']","['Put the cucumber, lemon juice, agave and absinthe into the bottom of a cocktail shaker and muddle together. Add the mezcal, fill the shaker with ice and give it a good shake.', 'Strain the drink through a fine strainer into a martini glass or coupette. Garnish with a twist of cucumber peel.']",bbc,https://www.bbcgoodfood.com/recipes/dizzy-mezcal,https://images.immediate.co.uk/production/volatile/sites/30/2021/03/dizzy-mezcal-d2ab56c.jpg
blueberry mojito,5 mins,6,Easy,Sip our refreshing blueberry mojito when the sun starts to shine. This easy cocktail can be mixed up in minutes with a handful of ingredients,"['100g blueberries', '3 lemons , chopped', '2 tbsp granulated sugar', '2 mint sprigs , leaves picked', '350ml white rum', '600ml sparkling water']","['Put the blueberries, lemons and sugar in a jug and muddle. Bruise the mint leaves and add them to the jug with lots of ice. Pour over the rum and sparkling water and stir together.']",bbc,https://www.bbcgoodfood.com/recipes/blueberry-mojito,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/blueberry-mojito-519d9f4.jpg
easy bloody mary,5 mins,1,Easy,"Mix together tomato juice, amontillado sherry, vodka and sherry vinegar to make a bloody mary cocktail. Season to suit with Tabasco and Worcestershire sauce","['small handful ice', '200ml tomato juice', '50ml vodka', '2 tbsp amontillado sherry', '1 tsp sherry vinegar , or to taste', 'pinch celery salt', 'Worcestershire sauce , to taste', 'Tabasco , to taste', 'squeeze of lemon juice', 'celery sticks and lemon wedges, to serve (optional)']","['Put the ice in a tall glass. Pour over the tomato juice, vodka, amontillado and sherry vinegar. Stir in the celery salt, then season to taste with the Worcestershire sauce, Tabasco and lemon juice. Taste again to see if more sherry vinegar is needed. ', 'Serve with celery sticks, lemon wedges and a sprinkle of freshly ground black pepper, if you like.']",bbc,https://www.bbcgoodfood.com/recipes/easy-bloody-mary,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dianas-bloody-mary-abda74f.jpg
